condition,subject,status,n_test,ME,MAE,RMSE,protocol
channel_dropout_VM,11Nmar,healthy,1053,2.6709372997283936,3.2148327827453613,3.862993281695088,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,11Nmar,healthy,1053,-0.23937645554542542,4.501784801483154,6.520029459225619,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,11Nmar,healthy,1053,-0.3933534324169159,3.594911575317383,5.321198825137575,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,11Nmar,healthy,1053,0.3227670192718506,5.009515285491943,6.71039775414236,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,11Nmar,healthy,1053,0.08996523916721344,4.481307029724121,6.146241082927262,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,1Amar,unhealthy,2468,-1.2259691953659058,4.405183792114258,6.5951889420543885,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,1Amar,unhealthy,2468,-1.1891900300979614,4.406945705413818,6.609568058738461,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,1Amar,unhealthy,2468,-1.266647458076477,4.403777599334717,6.560805038274201,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,1Amar,unhealthy,2468,-2.4371094703674316,6.657322883605957,8.61013485970145,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,1Amar,unhealthy,2468,-1.337532877922058,5.096933841705322,7.6036325206144015,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,1Amar,unhealthy,2468,-0.9616497159004211,7.0435566902160645,9.615023508186981,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,1Amar,unhealthy,2468,1.6411103010177612,7.153388500213623,10.320135076067622,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,1Amar,unhealthy,2468,-3.0085959434509277,5.583972930908203,7.828928040147802,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,1Amar,unhealthy,2468,0.10338722169399261,3.990983009338379,6.000007947280706,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,1Amar,unhealthy,2468,-1.2427161931991577,4.404521942138672,6.6049293374520195,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,2Amar,unhealthy,2089,-2.9295401573181152,4.428581237792969,7.222976570185401,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,2Amar,unhealthy,2089,-2.9317121505737305,4.42932653427124,7.226693147045386,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,2Amar,unhealthy,2089,-2.936232089996338,4.438869476318359,7.241573566969411,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,2Amar,unhealthy,2089,-2.6307244300842285,3.7261979579925537,6.848649452893124,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,2Amar,unhealthy,2089,-5.762999057769775,8.175074577331543,13.069764376021725,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,2Amar,unhealthy,2089,-3.4238109588623047,6.277341842651367,10.225547466218458,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,2Amar,unhealthy,2089,-1.258269190788269,6.280976295471191,8.897165048398142,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,2Amar,unhealthy,2089,-1.359281301498413,3.5469882488250732,4.966599100835296,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,2Amar,unhealthy,2089,-4.2440505027771,5.5724663734436035,9.528784260974088,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,2Amar,unhealthy,2089,-2.9259865283966064,4.4252214431762695,7.214707072253712,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,3Amar,unhealthy,8607,-1.9310215711593628,3.5987372398376465,7.33166496487848,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,3Amar,unhealthy,8607,-1.9341723918914795,3.595737934112549,7.323141847913244,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,3Amar,unhealthy,8607,-1.9407356977462769,3.612361192703247,7.3402335330909265,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,3Amar,unhealthy,8607,-2.2154979705810547,3.4441134929656982,6.87863562429046,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,3Amar,unhealthy,8607,-2.6341142654418945,5.07037353515625,9.227600194345206,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,3Amar,unhealthy,8607,-1.581233263015747,4.707712650299072,8.145010383838196,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,3Amar,unhealthy,8607,-3.7124903202056885,5.2801361083984375,9.820493515883395,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,3Amar,unhealthy,8607,-2.16894793510437,4.230475425720215,8.451395531258802,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,3Amar,unhealthy,8607,-1.7912359237670898,3.1125295162200928,6.111323131389779,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,3Amar,unhealthy,8607,-1.9235056638717651,3.598020315170288,7.33063156758594,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,4Amar,unhealthy,11183,-1.5681129693984985,6.036733150482178,10.772833416485003,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,4Amar,unhealthy,11183,-1.5641229152679443,6.054099082946777,10.803020224533494,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,4Amar,unhealthy,11183,-1.582291841506958,6.03306770324707,10.754941292588782,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,4Amar,unhealthy,11183,-0.9701371788978577,5.606746196746826,10.055858244534859,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,4Amar,unhealthy,11183,-2.1875998973846436,8.490177154541016,13.953754338235855,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,4Amar,unhealthy,11183,-3.1281816959381104,7.175641059875488,12.84239141328102,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,4Amar,unhealthy,11183,-2.053558111190796,10.1905517578125,14.328599961457112,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,4Amar,unhealthy,11183,-1.1866974830627441,6.100611686706543,10.008680009727026,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,4Amar,unhealthy,11183,-1.7512117624282837,6.552420616149902,11.932759407208062,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,4Amar,unhealthy,11183,-1.5659538507461548,6.03460693359375,10.77117218920902,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,5Amar,unhealthy,9083,-1.6282461881637573,5.660972595214844,9.127168580607467,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,5Amar,unhealthy,9083,-1.6324620246887207,5.664493560791016,9.134966280603006,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,5Amar,unhealthy,9083,-1.6150788068771362,5.670382022857666,9.13696132173187,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,5Amar,unhealthy,9083,-0.6953067779541016,4.83781099319458,6.943699996040278,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,5Amar,unhealthy,9083,-3.2686445713043213,7.263911724090576,11.914534442496917,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,5Amar,unhealthy,9083,-3.211463451385498,6.88738489151001,12.0615164400256,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,5Amar,unhealthy,9083,-0.944473147392273,7.373211860656738,11.089846501848902,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,5Amar,unhealthy,9083,0.3952980041503906,6.515981197357178,8.755426086828331,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,5Amar,unhealthy,9083,-2.9412686824798584,6.36529016494751,11.135528725660043,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,5Amar,unhealthy,9083,-1.6143245697021484,5.657278060913086,9.111154582015542,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,6Amar,unhealthy,10149,-3.259420871734619,4.1052327156066895,6.626525415390071,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,6Amar,unhealthy,10149,-3.264631509780884,4.107713222503662,6.634928048037652,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,6Amar,unhealthy,10149,-3.251497983932495,4.107489109039307,6.627680110433833,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,6Amar,unhealthy,10149,-5.994635581970215,6.2556047439575195,8.828700116084253,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,6Amar,unhealthy,10149,-3.2142343521118164,4.494039058685303,6.86090501826674,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,6Amar,unhealthy,10149,-6.176621437072754,9.333600997924805,14.790954630015856,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,6Amar,unhealthy,10149,-3.3524396419525146,5.40593147277832,8.883817778565357,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,6Amar,unhealthy,10149,-4.371667385101318,5.01734733581543,7.805559172653983,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,6Amar,unhealthy,10149,-2.7329084873199463,3.964245319366455,6.182523325109849,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,6Amar,unhealthy,10149,-3.2614481449127197,4.106058597564697,6.626831377363084,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,7Amar,unhealthy,3019,0.08584850281476974,6.855684757232666,10.015318391245849,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,7Amar,unhealthy,3019,0.08658310770988464,6.867356300354004,10.030835484767007,checkpoint_reuse_purged_temporal_test_only_perturbation
